,timestamp,yaw,pitch,row
0,0.033,-159.46,47.13,-146.48
1,75.487,-160.48,47.37,-146.79
2,130.486,-162.13,48.24,-147.46
3,197.27800000000002,-166.50,50.09,-147.78
4,264.414,-169.63,50.68,-148.82
5,332.729,-176.29,50.61,-152.08
6,398.758,-179.73,50.76,-153.32
7,468.993,176.06,49.47,-156.25
8,535.928,176.57,48.76,-156.33
9,606.488,-177.84,46.63,-154.06
10,679.895,-171.85,43.76,-151.15
11,743.651,-164.46,38.51,-147.24
12,811.394,-160.30,35.15,-145.18
13,881.5319999999999,-156.44,27.56,-142.39
14,947.244,-156.22,22.06,-142.94
15,1017.841,-157.98,15.64,-143.96
16,1083.901,-161.29,11.88,-145.87
17,1152.97,-166.55,9.93,-148.19
18,1217.499,-171.13,8.90,-149.53
19,1287.336,-178.82,8.28,-150.95
20,1353.093,175.36,8.35,-152.29
21,1423.077,168.50,9.50,-152.28
22,1487.373,165.13,11.62,-152.14
23,1556.447,162.62,15.93,-151.89
24,1626.85,162.12,20.62,-151.80
25,1695.027,164.04,26.15,-151.24
26,1762.416,167.42,30.14,-149.65
27,1831.871,173.56,33.68,-146.40
28,1902.5939999999998,177.99,34.95,-143.67
29,1970.616,-176.56,35.58,-140.89
