,timestamp,yaw,pitch,row
0,0.033,-168.58,47.60,-148.18
1,92.63000000000001,-168.89,47.36,-148.24
2,138.053,-169.81,48.11,-147.61
3,203.78099999999998,-171.31,49.71,-147.05
4,273.764,-174.93,52.33,-147.36
5,340.466,-178.44,52.37,-149.12
6,409.16200000000003,179.06,51.96,-150.37
7,474.178,179.57,51.81,-150.92
8,542.7389999999999,-176.20,50.02,-150.33
9,608.135,-170.74,46.58,-148.77
10,678.471,-164.52,40.96,-147.04
11,748.104,-160.81,35.93,-145.55
12,814.083,-157.33,27.31,-144.67
13,880.124,-156.66,22.05,-145.61
14,949.885,-158.59,16.31,-148.78
15,1016.729,-161.17,13.16,-151.04
16,1087.3809999999999,-165.87,10.38,-153.04
17,1153.403,-170.21,9.02,-153.72
18,1222.655,-176.32,8.52,-153.92
19,1289.793,178.83,8.63,-153.35
20,1363.161,172.04,9.94,-152.22
21,1425.472,168.32,12.07,-151.62
22,1537.364,164.96,17.07,-152.00
23,1556.3890000000001,164.41,21.18,-152.35
24,1673.797,166.63,26.82,-151.73
25,1696.512,170.64,30.83,-149.99
26,1801.455,178.33,34.47,-146.02
27,1832.09,-175.70,35.95,-142.93
28,1938.2459999999999,-169.24,36.72,-140.28
29,1966.4360000000001,-165.56,37.15,-139.33
