,timestamp,yaw,pitch,row
0,0.036000000000000004,-167.87,42.30,-158.17
1,72.167,-167.92,42.57,-158.21
2,138.286,-167.90,42.78,-158.09
3,204.975,-167.97,43.26,-157.94
4,267.608,-168.51,43.77,-158.16
5,339.52700000000004,-170.77,44.87,-160.05
6,401.78999999999996,-174.09,44.84,-163.76
7,474.813,-179.94,44.39,-172.50
8,539.104,175.96,42.90,-178.66
9,609.125,170.63,40.70,173.00
10,675.38,166.65,38.49,166.05
11,745.72,162.35,34.33,157.78
12,812.3359999999999,159.85,30.84,151.94
13,880.618,157.49,26.12,144.03
14,947.4399999999999,156.40,22.94,137.88
15,1016.21,155.44,19.13,130.34
16,1084.603,155.02,16.39,125.65
17,1153.998,154.68,13.06,119.48
18,1219.811,154.59,10.79,114.41
19,1293.223,155.01,8.59,109.49
20,1386.2559999999999,155.65,7.24,104.57
21,1427.768,156.94,5.54,98.72
22,1490.7250000000001,157.69,4.95,95.78
23,1562.624,159.15,4.36,91.86
24,1626.1699999999998,160.29,3.99,88.74
25,1694.22,162.12,3.52,85.31
26,1765.452,163.47,3.29,83.14
27,1832.921,165.50,3.05,78.85
28,1900.217,166.89,2.96,75.95
29,1969.189,169.16,3.05,71.04
