,timestamp,yaw,pitch,row
0,0.036000000000000004,-159.21,53.90,-142.25
1,61.627,-157.85,54.71,-141.03
2,131.95100000000002,-156.82,56.10,-140.93
3,196.576,-157.56,57.50,-142.03
4,267.029,-160.74,58.66,-145.07
5,333.28000000000003,-164.68,58.75,-149.29
6,404.37,-172.44,57.25,-157.43
7,467.096,-179.96,54.90,-166.06
8,536.73,171.27,49.57,-176.40
9,601.934,167.62,45.91,179.11
10,672.962,163.99,41.57,174.18
11,736.877,162.86,38.32,172.40
12,814.304,161.74,34.59,170.95
13,875.304,161.00,31.85,169.60
14,943.789,159.01,28.13,165.21
15,1010.5459999999999,157.12,25.03,160.60
16,1084.992,154.53,19.47,152.88
17,1147.405,153.94,15.97,149.19
18,1219.242,153.70,10.92,143.17
19,1278.144,154.50,8.34,140.24
20,1388.129,156.04,4.26,135.10
21,1412.6689999999999,157.18,2.51,133.50
22,1486.1789999999999,159.48,-2.00,128.49
23,1550.246,161.41,-5.47,125.34
24,1624.5430000000001,164.55,-9.95,120.41
25,1691.9759999999999,166.77,-11.72,119.17
26,1759.344,169.40,-13.08,118.43
27,1826.756,170.95,-13.89,117.71
28,1928.8339999999998,173.23,-14.58,117.50
29,1954.018,174.78,-14.64,117.85
