,timestamp,yaw,pitch,row
0,0.034,-137.15,59.67,-133.96
1,67.978,-136.98,60.13,-133.50
2,135.51,-136.78,60.49,-133.17
3,207.657,-136.37,61.10,-132.54
4,272.54,-135.59,61.73,-131.21
5,341.07,-135.08,62.68,-129.94
6,406.565,-136.92,63.02,-132.08
7,476.637,-143.26,61.67,-139.22
8,543.6469999999999,-149.20,59.77,-146.39
9,616.904,-159.67,56.94,-159.36
10,679.4879999999999,-168.08,54.32,-169.68
11,752.401,-176.41,50.27,179.29
12,816.956,178.83,46.67,172.03
13,885.077,175.65,42.89,166.59
14,951.028,174.56,39.93,163.54
15,1021.908,173.29,35.81,159.02
16,1084.891,172.59,32.33,155.19
17,1158.1589999999999,172.74,27.55,150.59
18,1225.5259999999998,173.44,23.85,147.12
19,1293.875,174.51,20.20,143.52
20,1353.7189999999998,175.27,17.38,140.81
21,1422.5449999999998,177.05,12.97,136.24
22,1489.035,178.67,10.10,133.05
23,1562.213,-178.53,4.89,127.15
24,1624.7640000000001,-176.54,0.54,122.02
25,1696.875,-173.17,-4.51,114.20
26,1760.357,-169.92,-7.63,108.69
27,1832.84,-164.36,-9.79,101.93
28,1911.733,-160.78,-10.01,98.58
29,1963.178,-155.89,-9.43,95.55
