,timestamp,yaw,pitch,row
0,0.033,179.57,50.71,174.35
1,71.148,179.53,50.79,174.31
2,132.72400000000002,179.57,50.81,174.41
3,207.03,179.47,51.03,174.23
4,267.227,179.38,51.16,174.10
5,340.90500000000003,178.27,51.02,172.99
6,403.902,177.64,50.29,171.84
7,475.578,174.62,46.86,166.69
8,540.934,173.32,45.22,164.31
9,609.746,170.07,39.68,157.60
10,675.3050000000001,168.94,37.85,154.88
11,747.565,166.85,32.94,148.43
12,810.856,166.53,31.19,146.74
13,881.129,166.31,25.95,141.03
14,947.732,166.43,23.95,138.13
15,1015.546,167.36,18.41,131.50
16,1106.559,167.81,16.75,129.62
17,1146.1399999999999,169.69,12.65,124.91
18,1207.8439999999998,170.34,11.41,123.44
19,1283.012,172.56,7.22,116.87
20,1345.088,173.17,6.13,115.37
21,1417.3629999999998,175.39,3.00,108.57
22,1473.7389999999998,176.03,2.19,106.63
23,1552.356,177.84,0.23,101.83
24,1620.528,178.64,-0.31,100.44
25,1688.426,-178.95,-1.94,94.81
26,1751.1399999999999,-178.20,-2.39,93.42
27,1825.385,-175.68,-3.51,88.45
28,1890.827,-174.96,-3.85,86.75
29,1963.042,-172.78,-4.02,82.18
