,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.041,123.00,100.00,100.00,100.00,3,109.59,22.97,-161.32
1,545.845,59.00,81.00,81.00,80.00,3,100.02,15.57,-161.15
2,1021.102,41.00,76.00,76.00,76.00,3,139.57,28.70,-159.27
3,1570.887,23.00,75.00,75.00,76.00,3,140.63,29.56,-161.57
4,2055.3849999999998,21.00,53.00,53.00,53.00,3,140.28,28.54,-161.47
5,2584.005,29.00,16.00,16.00,16.00,3,140.12,25.82,-161.06
6,3090.491,38.00,2.00,3.00,2.00,3,142.28,27.26,-160.37
7,3619.168,37.00,0.00,0.00,0.00,3,141.07,28.14,-159.24
8,4128.969,40.00,1.00,1.00,2.00,3,140.25,27.90,-159.37
9,4675.582,36.00,-1.00,0.00,-1.00,3,141.10,27.08,-157.61
10,5166.045,33.00,-2.00,-3.00,-3.00,3,143.61,30.55,-156.89
11,5687.217000000001,36.00,0.00,0.00,0.00,3,143.89,33.79,-156.97
12,6297.327,67.00,17.00,18.00,17.00,3,142.87,31.10,-159.07
13,6762.103,96.00,39.00,39.00,39.00,3,140.99,31.95,-160.43
14,7261.558,100.00,59.00,59.00,57.00,3,141.57,35.89,-161.33
15,7803.448,125.00,92.00,92.00,92.00,3,144.28,35.70,-161.24
16,8285.906,126.00,99.00,99.00,98.00,3,145.55,35.57,-162.65
17,8798.237000000001,124.00,90.00,91.00,90.00,3,146.39,35.66,-166.37
18,9303.232,125.00,86.00,86.00,86.00,3,145.02,40.45,-172.21
19,9842.884,124.00,79.00,79.00,78.00,3,125.34,33.19,152.43
20,10336.9,83.00,49.00,50.00,50.00,3,123.34,16.89,126.18
21,10865.738000000001,73.00,30.00,30.00,29.00,3,131.64,2.82,107.38
22,11396.806,57.00,16.00,17.00,16.00,3,134.53,0.28,106.75
23,11902.101,47.00,7.00,7.00,6.00,3,139.29,0.73,104.37
24,12415.209,41.00,4.00,3.00,4.00,3,142.60,-0.62,99.32
