,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.034999999999999996,80.00,65.00,67.00,67.00,3,103.18,18.23,-161.70
1,510.354,47.00,61.00,64.00,67.00,3,102.14,18.59,-160.87
2,1038.157,32.00,64.00,64.00,64.00,3,133.83,33.68,-168.74
3,1557.618,17.00,57.00,59.00,60.00,3,136.64,34.73,-171.53
4,2091.762,33.00,57.00,56.00,56.00,3,138.26,30.41,-169.08
5,2580.5220000000004,17.00,22.00,23.00,22.00,3,139.12,27.53,-168.10
6,3119.838,22.00,-7.00,-5.00,-5.00,3,138.52,26.07,-168.01
7,3615.536,36.00,-9.00,-9.00,-11.00,3,138.83,26.22,-166.92
8,4143.816,29.00,-11.00,-11.00,-11.00,3,138.01,26.63,-166.43
9,4669.681,22.00,-13.00,-14.00,-15.00,3,137.26,24.25,-166.49
10,5177.7,26.00,-11.00,-13.00,-12.00,3,139.66,24.15,-165.11
11,5691.604,21.00,-13.00,-13.00,-13.00,3,142.64,26.29,-164.28
12,6212.96,12.00,-11.00,-11.00,-11.00,3,142.40,25.93,-164.57
13,6721.37,56.00,21.00,21.00,19.00,3,140.95,23.41,-168.21
14,7253.901,112.00,77.00,76.00,73.00,3,139.37,21.72,-169.05
15,7757.309,112.00,75.00,74.00,74.00,3,140.85,27.48,-168.03
16,8282.306,122.00,81.00,84.00,85.00,3,141.72,30.96,-172.58
17,8792.57,124.00,80.00,78.00,77.00,3,142.09,31.01,-175.87
18,9316.265,111.00,64.00,64.00,65.00,3,142.35,31.11,-179.91
19,9826.892000000002,77.00,47.00,47.00,47.00,3,129.30,27.03,158.11
20,10376.436,67.00,32.00,30.00,29.00,3,127.62,14.31,134.56
21,10865.089,43.00,12.00,13.00,12.00,3,130.34,8.66,124.57
22,11396.753999999999,41.00,7.00,7.00,8.00,3,135.24,7.97,118.21
23,11895.92,43.00,5.00,7.00,7.00,3,137.72,6.33,111.42
24,12422.15,42.00,2.00,1.00,1.00,3,141.58,2.28,100.84
