,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.030000000000000002,111.00,81.00,77.00,77.00,3,99.68,19.05,-162.38
1,494.325,78.00,54.00,55.00,55.00,3,97.72,17.92,-163.48
2,1027.78,29.00,60.00,64.00,65.00,3,129.74,34.33,-161.78
3,1529.26,32.00,64.00,64.00,63.00,3,133.23,32.83,-171.71
4,2059.161,23.00,57.00,60.00,59.00,3,132.52,33.71,-171.92
5,2566.496,33.00,41.00,39.00,40.00,3,132.47,32.11,-172.35
6,3093.321,42.00,13.00,13.00,14.00,3,134.32,27.22,-170.40
7,3601.315,45.00,-1.00,-1.00,-2.00,3,136.30,28.29,-167.46
8,4130.359,36.00,-5.00,-6.00,-6.00,3,136.45,28.52,-166.55
9,4636.003,32.00,-7.00,-8.00,-7.00,3,136.09,28.20,-166.52
10,5163.822,37.00,-10.00,-10.00,-9.00,3,137.29,21.02,-165.27
11,5694.356,22.00,-10.00,-10.00,-10.00,3,138.02,23.97,-165.46
12,6197.347,5.00,-11.00,-10.00,-11.00,3,139.26,30.40,-165.75
13,6709.427,0.00,-12.00,-12.00,-11.00,3,139.24,26.75,-169.09
14,7232.967000000001,54.00,12.00,11.00,13.00,3,138.80,22.42,-170.67
15,7741.8279999999995,98.00,31.00,31.00,29.00,3,138.07,21.53,-171.02
16,8285.117,108.00,45.00,45.00,45.00,3,137.62,31.69,-175.96
17,8775.858,115.00,77.00,77.00,75.00,3,137.06,32.94,-175.60
18,9301.705,126.00,86.00,84.00,84.00,3,135.20,36.82,179.97
19,9841.648,111.00,74.00,74.00,74.00,3,136.78,37.01,179.02
20,10340.954,126.00,81.00,79.00,78.00,3,133.95,40.06,173.66
21,10864.014,118.00,63.00,60.00,57.00,3,125.10,38.26,159.24
22,11404.137999999999,81.00,34.00,35.00,36.00,3,119.25,20.09,133.39
23,11884.484,59.00,22.00,22.00,21.00,3,120.77,10.94,120.84
24,12411.277,36.00,5.00,6.00,6.00,3,130.93,1.78,113.62
25,12925.34,37.00,3.00,4.00,5.00,3,135.08,-0.55,106.05
