,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.030000000000000002,104.00,93.00,92.00,92.00,3,105.68,19.37,-159.64
1,488.923,96.00,85.00,85.00,85.00,3,100.74,14.80,-159.93
2,1020.799,41.00,84.00,83.00,85.00,3,141.79,27.98,-169.46
3,1522.877,33.00,78.00,79.00,78.00,3,145.65,25.60,-170.69
4,2047.2579999999998,33.00,71.00,71.00,71.00,3,147.01,23.82,-170.03
5,2571.598,38.00,41.00,41.00,41.00,3,147.37,22.09,-170.98
6,3085.091,48.00,26.00,26.00,27.00,3,148.04,22.32,-170.18
7,3603.2090000000003,52.00,23.00,23.00,24.00,3,147.87,22.68,-169.73
8,4141.987,57.00,23.00,22.00,22.00,3,147.95,22.09,-169.57
9,4628.268,65.00,17.00,16.00,17.00,3,148.18,21.89,-169.18
10,5168.053,65.00,10.00,10.00,10.00,3,149.74,26.26,-167.23
11,5663.414000000001,35.00,0.00,0.00,0.00,3,148.97,27.21,-167.71
12,6189.4130000000005,62.00,12.00,12.00,13.00,3,147.85,25.79,-169.10
13,6725.687,92.00,63.00,64.00,63.00,3,146.73,22.04,-170.55
14,7225.157,121.00,99.00,98.00,99.00,3,146.11,30.56,-172.02
15,7736.839,126.00,101.00,102.00,100.00,3,145.67,36.28,-176.77
16,8279.043,120.00,97.00,95.00,94.00,3,145.27,38.20,178.20
17,8769.812999999998,115.00,94.00,95.00,96.00,3,145.64,38.05,177.87
18,9307.576,117.00,86.00,87.00,85.00,3,135.13,39.07,160.46
19,9804.134,75.00,43.00,43.00,43.00,3,130.98,31.82,146.38
20,10332.069000000001,60.00,35.00,34.00,36.00,3,128.50,24.34,134.37
21,10836.299,57.00,28.00,28.00,28.00,3,132.74,14.73,125.83
22,11366.847,51.00,20.00,18.00,18.00,3,134.30,10.24,119.31
23,11870.969000000001,48.00,16.00,17.00,16.00,3,135.67,8.49,114.32
24,12424.592999999999,47.00,14.00,14.00,14.00,3,137.44,5.01,106.16
