,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.029,39.00,-9.00,-8.00,-8.00,3,124.26,18.88,-164.08
1,508.56100000000004,104.00,75.00,75.00,78.00,3,117.97,19.74,-164.39
2,1027.512,53.00,61.00,60.00,59.00,3,103.91,17.58,-167.50
3,1541.904,34.00,61.00,60.00,60.00,3,117.01,31.04,-161.84
4,2050.079,30.00,58.00,59.00,60.00,3,117.81,28.72,-163.28
5,2589.03,28.00,37.00,35.00,34.00,3,120.41,26.90,-161.45
6,3085.708,50.00,4.00,4.00,4.00,3,119.69,26.15,-162.30
7,3615.075,57.00,2.00,3.00,2.00,3,120.25,25.30,-161.33
8,4146.163,64.00,-4.00,-5.00,-5.00,3,119.57,25.86,-161.34
9,4648.31,46.00,-6.00,-7.00,-6.00,3,120.22,25.32,-161.76
10,5158.463000000001,42.00,-7.00,-7.00,-8.00,3,121.14,22.45,-162.23
11,5699.125,33.00,-13.00,-13.00,-13.00,3,123.85,21.20,-160.24
12,6193.295,33.00,-12.00,-12.00,-10.00,3,124.30,20.85,-161.26
13,6732.655000000001,48.00,1.00,0.00,1.00,3,124.20,17.83,-163.04
14,7226.997,67.00,12.00,12.00,14.00,3,125.08,14.79,-163.99
15,7755.458,92.00,43.00,42.00,44.00,3,128.63,29.52,-166.89
16,8282.748,94.00,64.00,66.00,69.00,3,130.08,29.41,-166.79
17,8793.22,96.00,61.00,60.00,64.00,3,132.52,31.54,-171.11
18,9310.038,90.00,37.00,36.00,38.00,3,133.16,34.47,-178.64
19,9844.363,73.00,15.00,15.00,14.00,3,123.36,35.03,143.92
20,10333.425,62.00,4.00,4.00,3.00,3,123.48,18.46,115.68
21,10869.812,56.00,-2.00,-2.00,-3.00,3,133.11,10.87,101.59
22,11368.703,45.00,-7.00,-7.00,-6.00,3,138.47,7.58,89.50
23,11896.144,43.00,-3.00,-5.00,-4.00,3,147.85,5.23,73.60
