,timestamp,yaw,pitch,row
0,0.031,-146.88,47.77,-123.48
1,66.713,-146.82,47.22,-123.08
2,128.22400000000002,-146.91,46.68,-122.91
3,201.18800000000002,-146.76,45.24,-121.65
4,267.805,-145.91,43.95,-118.39
5,339.002,-145.73,42.65,-114.26
6,405.116,-147.40,42.47,-112.53
7,471.601,-151.24,42.29,-112.16
8,541.524,-154.54,41.64,-111.74
9,611.635,-161.96,39.85,-113.12
10,674.014,-168.33,38.37,-115.21
11,744.359,-176.76,36.17,-119.51
12,810.289,177.01,33.68,-123.05
13,879.787,170.90,29.31,-124.84
14,946.4240000000001,167.81,25.86,-125.13
15,1013.9050000000001,165.08,19.92,-125.10
16,1081.173,164.91,15.51,-124.79
17,1150.2669999999998,166.52,10.52,-125.35
18,1214.685,169.16,7.43,-126.25
19,1284.527,175.00,4.02,-127.14
20,1350.649,179.84,2.68,-127.16
21,1420.132,-173.07,1.90,-127.45
22,1540.193,-168.60,2.82,-127.59
23,1560.262,-163.53,6.00,-128.05
24,1620.944,-160.68,8.81,-128.01
25,1689.564,-156.86,13.62,-127.13
26,1758.156,-154.70,17.14,-125.72
27,1824.5910000000001,-153.02,22.27,-123.81
28,1889.6599999999999,-152.88,25.57,-122.27
29,1962.286,-154.09,29.82,-120.66
