,timestamp,yaw,pitch,row
0,0.04,-152.00,42.77,-126.34
1,71.185,-152.09,42.89,-126.16
2,130.214,-151.79,43.10,-125.63
3,198.983,-151.00,43.37,-124.73
4,269.726,-148.65,43.76,-121.73
5,338.203,-146.28,44.15,-119.03
6,404.76800000000003,-145.04,44.19,-115.35
7,472.186,-145.79,43.81,-113.66
8,540.876,-149.20,43.55,-113.27
9,607.895,-152.83,43.10,-114.35
10,674.766,-160.33,42.62,-117.45
11,742.124,-166.97,41.94,-121.50
12,811.4749999999999,-175.27,40.04,-125.74
13,878.529,-179.19,38.00,-126.80
14,948.295,176.43,33.58,-127.41
15,1013.196,173.75,29.89,-128.48
16,1083.202,171.72,23.55,-128.09
17,1147.996,171.06,18.41,-128.36
18,1218.146,172.73,12.40,-127.72
19,1284.972,176.02,8.34,-126.76
20,1354.742,-178.58,4.31,-127.02
21,1418.4470000000001,-173.63,2.45,-127.29
22,1488.915,-167.10,2.20,-127.09
23,1554.179,-160.99,3.83,-126.23
24,1623.96,-155.27,7.94,-125.05
25,1689.5240000000001,-152.36,11.72,-123.49
26,1758.356,-150.05,17.15,-120.30
27,1826.0430000000001,-149.72,20.94,-118.43
28,1888.963,-150.71,25.20,-116.16
29,1959.1380000000001,-152.77,28.32,-115.30
