,timestamp,yaw,pitch,row
0,0.041,-165.62,58.47,-144.45
1,55.757,-165.62,58.47,-144.45
2,128.95000000000002,-157.58,54.31,-146.03
3,189.05700000000002,-157.69,54.18,-146.20
4,264.281,-158.01,54.17,-146.60
5,332.048,-158.02,54.34,-146.62
6,399.915,-156.52,55.45,-144.69
7,462.46500000000003,-155.16,57.39,-142.89
8,536.963,-152.04,65.01,-139.11
9,617.5169999999999,-147.62,69.55,-133.81
10,670.5029999999999,-122.68,78.63,-107.19
11,736.692,-98.76,80.76,-82.65
12,806.465,-43.79,77.47,-26.40
13,872.768,-33.78,74.40,-15.66
14,941.346,-23.40,66.67,-3.56
15,1006.954,-21.19,63.75,-0.70
16,1079.193,-18.58,59.49,2.19
17,1143.6100000000001,-17.36,59.03,2.72
18,1214.925,-15.09,61.20,2.62
19,1277.828,-14.64,63.22,1.93
20,1346.59,-15.71,70.92,-1.67
21,1408.002,-18.65,75.46,-5.17
22,1480.957,-52.57,85.09,-39.88
23,1549.012,-131.57,84.92,-119.34
24,1626.0140000000001,-165.60,73.02,-152.09
25,1683.353,-169.21,66.38,-154.30
26,1748.747,-173.80,53.56,-156.74
27,1817.237,-175.44,46.53,-156.88
28,1887.712,-177.43,36.27,-156.79
29,1953.049,-178.41,32.79,-157.43
