,timestamp,yaw,pitch,row
0,0.029,-153.75,53.96,-145.00
1,70.637,-155.03,53.01,-146.01
2,134.291,-156.51,52.72,-147.48
3,206.40200000000002,-160.96,52.55,-153.26
4,268.834,-162.62,53.00,-155.49
5,341.429,-163.82,56.26,-157.26
6,405.12399999999997,-164.10,58.51,-158.13
7,475.872,-159.82,66.52,-153.61
8,539.117,-155.56,70.83,-149.49
9,609.2950000000001,-135.21,79.05,-129.26
10,674.351,-109.60,81.81,-103.98
11,743.9449999999999,-50.38,79.16,-45.06
12,831.471,-37.27,75.57,-31.90
13,881.386,-26.47,67.15,-20.89
14,946.8729999999999,-24.11,64.13,-18.48
15,1019.0319999999999,-20.57,57.01,-14.26
16,1080.099,-20.19,54.96,-13.28
17,1157.019,-20.66,52.80,-12.27
18,1223.338,-20.68,52.75,-12.05
19,1289.544,-19.10,54.85,-12.51
20,1359.852,-19.67,58.02,-13.99
21,1430.245,-24.23,67.74,-21.01
22,1496.098,-31.72,73.18,-28.89
23,1559.784,-86.65,80.52,-82.03
24,1632.5369999999998,-119.28,78.49,-113.72
25,1699.575,-150.03,67.44,-141.12
26,1762.7489999999998,-155.44,62.73,-145.58
27,1833.338,-160.52,53.16,-147.94
28,1893.783,-162.93,49.30,-149.65
29,1968.694,-166.39,42.64,-152.51
