,timestamp,yaw,pitch,row
0,0.034999999999999996,-165.27,35.35,-149.86
1,66.193,-164.96,35.34,-148.91
2,136.89399999999998,-164.25,35.43,-146.72
3,205.61599999999999,-163.04,36.20,-144.93
4,276.57,-159.00,39.01,-139.00
5,339.974,-155.89,42.09,-135.57
6,410.025,-151.56,46.93,-131.29
7,474.63300000000004,-148.64,50.25,-128.51
8,548.351,-143.71,54.64,-123.66
9,609.985,-140.02,57.98,-120.31
10,683.363,-133.00,62.67,-114.37
11,742.127,-126.60,66.41,-109.16
12,811.45,-111.90,70.92,-96.77
13,879.207,-98.82,72.90,-84.88
14,944.2810000000001,-76.76,73.25,-64.93
15,1024.452,-62.42,72.02,-52.21
16,1082.12,-44.52,69.17,-37.46
17,1150.0049999999999,-34.39,66.86,-29.87
18,1220.132,-24.57,64.79,-23.40
19,1285.2630000000001,-20.37,65.31,-21.38
20,1357.874,-18.02,70.01,-20.56
21,1420.721,-20.34,75.42,-23.51
22,1492.2759999999998,-43.52,83.35,-46.72
23,1553.763,-106.20,85.14,-109.12
24,1622.74,-147.12,79.51,-147.90
25,1688.8609999999999,-155.92,74.29,-155.69
26,1762.251,-161.26,68.46,-158.88
27,1824.9560000000001,-162.97,64.46,-159.42
28,1889.2089999999998,-164.99,58.90,-158.74
29,1987.203,-165.63,55.30,-157.71
