,timestamp,yaw,pitch,row
0,0.04,-153.74,19.14,-146.66
1,47.664,-154.07,19.34,-147.13
2,117.45899999999999,-154.33,19.68,-147.65
3,191.663,-154.54,19.74,-147.93
4,272.052,-155.71,19.77,-149.06
5,323.35999999999996,-156.82,19.25,-149.64
6,381.89099999999996,-155.96,17.53,-150.04
7,449.553,-155.37,16.13,-150.66
8,524.582,-154.57,12.56,-150.39
9,690.209,-154.24,11.72,-150.47
10,691.471,-153.86,12.64,-149.95
11,709.164,-152.45,14.74,-148.94
12,790.705,-150.18,20.49,-146.82
13,860.11,-148.34,24.55,-145.02
14,910.244,-144.29,32.81,-139.82
15,976.629,-140.42,37.11,-136.14
16,1093.097,-134.61,43.58,-130.00
17,1138.0539999999999,-131.03,46.60,-126.37
18,1190.673,-120.27,55.06,-115.60
19,1234.792,-111.72,59.38,-108.20
20,1318.681,-80.27,67.26,-80.60
21,1405.244,-63.64,67.90,-67.15
22,1434.7259999999999,-34.27,62.44,-44.81
23,1502.522,-25.63,59.42,-39.18
24,1579.148,-9.14,56.33,-26.79
25,1659.799,-1.22,56.04,-19.59
26,1702.418,6.03,56.79,-10.59
27,1769.1760000000002,7.85,58.27,-6.95
28,1891.687,6.96,62.88,-2.34
29,1933.237,3.16,65.76,-3.35
