,timestamp,yaw,pitch,row
0,0.032,-156.46,51.11,-151.87
1,61.332,-156.59,50.90,-152.03
2,132.958,-157.12,50.26,-152.28
3,195.063,-157.34,50.00,-152.17
4,268.583,-157.17,51.06,-151.35
5,333.837,-156.66,52.73,-150.80
6,393.898,-154.15,58.02,-148.00
7,469.082,-152.34,61.06,-146.32
8,532.061,-143.90,68.92,-138.13
9,599.488,-135.36,73.13,-130.21
10,682.004,-94.54,79.14,-90.85
11,730.726,-70.37,78.76,-67.25
12,804.175,-37.05,72.58,-34.84
13,865.414,-29.45,68.21,-27.58
14,934.453,-22.23,59.66,-21.63
15,998.567,-19.89,55.99,-20.17
16,1067.3049999999998,-15.98,51.19,-18.70
17,1131.483,-15.10,51.09,-18.45
18,1203.7040000000002,-13.92,57.40,-19.01
19,1274.7489999999998,-14.00,61.91,-19.60
20,1335.247,-17.51,73.71,-23.12
21,1400.059,-25.91,79.72,-30.46
22,1471.453,-130.89,82.72,-131.72
23,1535.895,-150.92,77.15,-149.79
24,1604.8770000000002,-162.25,64.12,-157.77
25,1667.59,-163.84,59.12,-158.34
26,1737.864,-167.20,50.63,-159.96
27,1801.8700000000001,-168.61,48.18,-161.16
28,1873.02,-171.25,43.17,-163.69
29,1938.597,-172.09,41.39,-164.28
