,timestamp,yaw,pitch,row
0,0.04,-153.15,48.04,-147.33
1,56.29,-152.99,48.21,-146.81
2,127.19,-152.91,48.80,-146.33
3,194.21099999999998,-152.95,49.02,-146.01
4,262.844,-152.71,49.36,-144.75
5,329.47900000000004,-154.66,48.92,-146.59
6,394.677,-157.70,46.12,-149.42
7,464.72799999999995,-159.96,44.13,-151.12
8,533.926,-160.99,46.47,-152.10
9,599.82,-160.18,51.02,-152.78
10,668.947,-155.42,58.62,-149.66
11,734.1320000000001,-149.16,64.39,-145.18
12,802.8539999999999,-133.02,72.43,-131.10
13,868.761,-110.14,76.02,-109.50
14,944.247,-69.95,75.90,-71.19
15,1003.528,-49.12,72.43,-51.59
16,1072.3,-33.98,66.18,-37.74
17,1139.87,-29.27,62.75,-33.62
18,1226.383,-26.51,60.74,-31.71
19,1274.889,-26.49,61.86,-32.25
20,1345.615,-31.66,67.12,-38.40
21,1409.3690000000001,-43.60,72.61,-50.61
22,1479.261,-78.07,77.45,-84.54
23,1545.337,-111.10,76.64,-116.19
24,1631.6699999999998,-141.57,70.79,-145.21
25,1681.669,-152.51,65.14,-154.99
26,1755.982,-160.14,57.87,-160.90
27,1817.751,-163.74,52.00,-162.87
28,1888.426,-166.37,45.05,-163.35
29,1959.867,-167.60,40.10,-162.93
