,yaw_0,yaw_1,yaw_2,yaw_3,yaw_4,yaw_5,yaw_6,yaw_7,yaw_8,yaw_9,yaw_10,yaw_11,yaw_12,yaw_13,yaw_14,yaw_15,yaw_16,yaw_17,yaw_18,yaw_19,yaw_20,yaw_21,yaw_22,yaw_23,yaw_24,yaw_25,yaw_26,yaw_27,yaw_28,yaw_29,pitch_0,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,pitch_8,pitch_9,pitch_10,pitch_11,pitch_12,pitch_13,pitch_14,pitch_15,pitch_16,pitch_17,pitch_18,pitch_19,pitch_20,pitch_21,pitch_22,pitch_23,pitch_24,pitch_25,pitch_26,pitch_27,pitch_28,pitch_29,row_0,row_1,row_2,row_3,row_4,row_5,row_6,row_7,row_8,row_9,row_10,row_11,row_12,row_13,row_14,row_15,row_16,row_17,row_18,row_19,row_20,row_21,row_22,row_23,row_24,row_25,row_26,row_27,row_28,row_29,gesture
168,-144.13,-144.7,-145.09,-145.26,-145.27,-146.19,-145.74,-146.45,-146.98,-147.94,-148.44,-148.99,-149.85,-150.85,-151.23,-152.36,-153.39,-155.28,-156.71,-159.38,-161.49,-164.33,-166.24,-169.09,-171.31,-174.02,-176.37,-179.25,178.91,175.98,51.35,51.01,50.61,50.27,50.14,48.68,47.27,43.78,41.04,36.61,32.69,27.73,23.74,19.11,15.99,11.28,8.22,4.15,1.46,-2.5,-4.78,-6.93,-8.03,-9.0,-9.86,-10.61,-10.24,-10.17,-10.14,-10.06,-154.05,-154.38,-154.54,-154.8,-154.81,-156.14,-154.65,-154.46,-154.33,-153.78,-152.78,-151.86,-151.0,-148.81,-146.6,-143.9,-142.29,-140.01,-138.46,-136.48,-135.5,-134.53,-133.82,-133.11,-132.4,-131.21,-131.1,-130.08,-129.58,-128.83,right
169,-147.32,-147.22,-147.31,-147.37,-147.43,-147.45,-147.15,-147.23,-147.93,-149.0,-150.32,-150.73,-151.91,-152.73,-154.45,-155.39,-156.02,-156.56,-157.74,-158.69,-160.48,-161.99,-164.18,-166.19,-169.28,-171.49,-174.83,-177.19,179.75,177.39,46.22,46.25,46.43,46.99,47.54,47.17,45.91,44.16,41.77,38.93,35.4,32.06,26.08,20.6,13.41,9.26,4.46,1.59,-1.3,-2.76,-4.78,-6.5,-8.38,-9.6,-11.36,-12.54,-13.54,-13.98,-14.6,-15.01,-149.72,-149.6,-149.83,-149.65,-149.62,-149.66,-149.28,-149.18,-148.74,-149.3,-150.22,-149.6,-149.71,-147.99,-144.55,-143.33,-141.08,-139.06,-137.86,-137.12,-136.04,-135.06,-134.13,-133.33,-132.07,-131.11,-129.8,-129.22,-128.22,-127.58,right
170,-140.96,-141.15,-141.19,-141.48,-142.16,-142.53,-143.21,-143.69,-143.96,-144.12,-144.61,-146.24,-147.25,-148.47,-149.24,-150.79,-151.85,-153.76,-155.12,-157.43,-159.25,-162.18,-164.73,-167.92,-170.32,-173.76,-176.19,-179.42,178.59,175.76,47.17,47.18,47.17,47.34,47.5,46.13,44.75,42.34,40.99,37.96,34.2,29.48,26.69,22.15,18.83,14.0,10.23,4.94,1.88,-1.81,-4.51,-7.81,-10.12,-11.98,-13.17,-14.82,-15.36,-16.37,-16.68,-16.5,-148.93,-148.99,-148.96,-148.89,-149.53,-149.54,-150.36,-150.63,-150.92,-150.88,-150.1,-150.28,-149.69,-148.27,-147.04,-145.72,-144.31,-141.91,-140.57,-139.1,-137.77,-135.77,-134.18,-132.12,-130.79,-128.61,-127.82,-126.41,-125.7,-125.96,right
171,-153.36,-153.38,-153.28,-153.39,-153.18,-153.12,-152.83,-152.59,-152.47,-152.05,-151.79,-151.86,-152.22,-152.75,-153.34,-154.6,-155.64,-157.28,-158.57,-161.09,-163.11,-165.72,-167.79,-171.03,-173.42,-177.04,-179.64,176.71,173.69,170.21,50.37,50.49,50.94,51.67,52.24,51.34,50.45,47.78,44.83,38.56,34.22,28.9,24.44,19.73,15.66,10.88,7.51,2.44,-0.73,-4.28,-6.63,-9.61,-11.14,-12.45,-13.82,-15.85,-16.95,-18.87,-20.08,-20.91,-161.07,-161.13,-161.13,-161.83,-162.55,-163.59,-163.53,-163.37,-162.8,-160.61,-158.45,-156.02,-154.47,-152.43,-150.39,-148.26,-146.72,-144.09,-142.15,-139.83,-137.58,-135.1,-133.63,-131.78,-129.67,-126.58,-124.73,-121.65,-118.99,-116.26,right
172,-139.65,-140.01,-140.53,-141.23,-141.44,-141.67,-141.84,-142.21,-143.12,-143.51,-143.36,-143.61,-144.76,-146.41,-148.6,-149.75,-152.04,-153.53,-155.78,-157.65,-160.44,-162.44,-165.62,-167.6,-170.52,-173.23,-176.79,-179.8,176.56,174.02,49.16,49.51,50.05,50.53,50.97,50.57,48.38,46.11,42.38,39.63,37.51,34.33,29.22,25.19,20.04,16.99,11.92,8.54,3.72,0.7,-2.47,-3.9,-5.7,-7.09,-8.43,-9.01,-9.64,-9.92,-10.2,-10.27,-145.91,-145.96,-146.26,-146.63,-146.44,-146.7,-146.57,-146.42,-146.3,-145.92,-145.5,-144.87,-143.77,-143.12,-142.02,-140.92,-139.47,-138.07,-135.72,-134.43,-133.24,-132.5,-132.02,-131.59,-130.73,-130.46,-129.25,-128.31,-127.35,-126.5,right
173,-141.03,-141.36,-141.64,-142.41,-143.64,-145.28,-146.02,-148.55,-150.32,-152.2,-152.99,-153.72,-154.37,-155.4,-156.52,-158.07,-159.61,-161.5,-162.99,-166.1,-168.13,-171.08,-173.16,-176.3,-178.66,178.4,176.02,173.1,171.09,168.38,48.67,48.76,48.87,48.9,48.49,47.37,46.36,43.38,40.24,34.9,30.1,24.99,20.44,14.58,11.08,7.9,4.97,1.63,-0.86,-4.79,-6.67,-8.99,-10.14,-11.55,-12.31,-12.94,-13.76,-14.45,-14.67,-15.01,-145.11,-145.3,-145.41,-146.15,-147.58,-149.46,-149.77,-152.32,-154.32,-155.11,-153.28,-150.93,-148.28,-144.68,-143.05,-141.44,-140.1,-138.1,-136.67,-134.52,-133.16,-131.74,-130.95,-129.73,-129.19,-128.88,-128.16,-127.47,-127.06,-126.5,right
174,-142.57,-142.97,-143.16,-143.43,-143.17,-143.01,-142.64,-143.6,-143.46,-143.93,-145.64,-146.89,-148.78,-149.91,-151.5,-152.87,-154.4,-155.26,-156.74,-157.95,-160.22,-161.89,-164.63,-166.9,-170.27,-173.09,-177.17,179.64,175.64,173.03,51.95,51.32,50.57,50.01,49.22,48.89,48.19,46.72,46.02,45.35,42.26,39.44,34.11,30.25,24.94,21.68,16.51,12.65,7.59,4.42,0.69,-1.66,-4.8,-7.19,-9.96,-11.48,-13.13,-14.13,-15.44,-16.05,-135.36,-135.31,-135.18,-135.03,-133.71,-133.21,-131.49,-132.56,-132.47,-133.3,-134.66,-134.89,-134.73,-134.11,-132.12,-131.33,-128.91,-127.0,-125.23,-124.18,-123.47,-122.69,-121.78,-120.5,-119.16,-117.94,-116.61,-115.41,-113.65,-112.6,right
175,-150.16,-149.94,-150.17,-150.71,-150.59,-150.66,-150.08,-148.98,-148.42,-148.08,-147.95,-148.51,-149.16,-150.09,-150.76,-151.62,-152.39,-153.87,-155.17,-157.48,-159.57,-162.19,-164.45,-168.15,-170.88,-175.19,-178.73,176.29,173.14,169.82,47.66,47.81,48.15,49.05,49.98,50.73,50.52,48.01,45.41,40.31,36.25,30.43,26.39,21.47,18.08,13.28,10.21,6.29,3.87,0.26,-3.19,-7.49,-10.38,-13.38,-15.39,-18.36,-20.41,-21.95,-22.19,-22.44,-155.31,-154.98,-155.06,-155.06,-154.43,-154.91,-154.91,-155.02,-155.75,-154.72,-153.43,-151.46,-150.45,-148.75,-147.73,-145.82,-144.57,-143.34,-142.42,-141.12,-139.44,-136.67,-134.53,-131.61,-129.81,-126.64,-123.91,-120.58,-118.49,-116.22,right
176,-156.87,-156.88,-156.9,-156.76,-157.06,-157.02,-155.99,-155.28,-155.0,-155.43,-156.57,-157.29,-158.6,-159.19,-160.61,-162.08,-164.37,-165.66,-167.93,-170.13,-172.99,-175.53,-178.69,178.98,175.6,173.47,170.47,168.27,165.22,162.62,45.86,45.91,46.13,46.44,48.01,49.43,49.29,47.94,45.39,43.06,39.17,35.26,29.14,25.48,19.59,15.41,9.91,6.43,1.97,-0.89,-3.6,-5.3,-7.22,-8.54,-10.2,-10.86,-12.02,-12.76,-12.9,-13.05,-163.07,-163.14,-163.32,-163.27,-163.93,-164.18,-163.89,-163.89,-163.9,-163.96,-164.02,-163.27,-161.35,-159.86,-156.9,-154.81,-150.73,-147.67,-143.13,-139.66,-135.9,-133.16,-129.48,-126.44,-122.5,-120.53,-117.17,-115.25,-113.48,-111.91,right
177,-150.33,-150.8,-151.04,-151.61,-152.31,-152.45,-152.72,-152.79,-153.14,-153.26,-153.19,-153.47,-153.96,-154.64,-155.26,-156.11,-157.13,-158.85,-160.37,-163.52,-166.22,-169.71,-172.51,-175.85,-178.41,177.76,174.75,171.29,168.81,165.86,42.69,43.02,43.28,43.95,44.77,44.7,43.25,41.58,39.76,36.05,33.05,28.22,24.89,19.94,15.92,10.88,7.18,3.26,0.94,-1.99,-3.99,-6.23,-8.33,-10.71,-12.32,-14.28,-15.42,-15.98,-16.01,-15.48,-158.17,-158.86,-159.11,-159.74,-160.63,-161.22,-163.08,-162.58,-162.96,-161.7,-159.9,-157.35,-155.51,-152.69,-150.16,-147.17,-144.74,-142.22,-140.63,-138.53,-136.87,-134.24,-131.62,-127.99,-125.62,-122.38,-120.48,-118.8,-117.63,-117.23,right
