12991.606122164,0,0.0,0.0,0.0
12991.667271757,0,0.0,0.0,0.0
12991.716172443,0,0.0,0.0,0.0
12991.778152137,1,-38.43,0.37,-165.72
12991.852437353,1,-38.43,0.37,-165.72
12991.907656762,2,-38.43,0.37,-165.71
12991.981387398,2,-38.43,0.37,-165.71
12992.042628189,2,-38.43,0.37,-165.71
12992.113463315,2,-38.43,0.37,-165.71
12992.179096224,2,-38.43,0.37,-165.71
12992.252017539,2,-38.43,0.38,-165.72
12992.315086239,2,-38.43,0.37,-165.72
12992.392640453,2,-38.43,0.37,-165.71
12992.442629936,2,-38.43,0.37,-165.71
12992.546422375,2,-38.43,0.36,-165.71
12992.586507263,2,-38.43,0.36,-165.72
12992.650335074,2,-38.43,0.36,-165.71
12992.713910647,2,-38.43,0.36,-165.71
12992.782920521,2,-38.43,0.36,-165.71
12992.849899048,2,-38.43,0.36,-165.71
12992.912282282,2,-38.43,0.36,-165.71
12992.980072994,2,-38.43,0.36,-165.71
12993.047331521,2,-38.43,0.36,-165.71
12993.114912598,2,-38.43,0.36,-165.71
12993.18345263,2,-38.43,0.36,-165.71
12993.251201311,2,-38.43,0.36,-165.71
12993.319750561,2,-38.43,0.36,-165.71
12993.383655768,2,-38.43,0.36,-165.71
12993.452694548,2,-38.43,0.36,-165.71
12993.520322864,2,-38.43,0.36,-165.71
12993.590411223,2,-38.43,0.36,-165.71
12993.654802574,2,-38.43,0.36,-165.71
12993.72327646,2,-38.43,0.36,-165.71
12993.788141298,2,-38.43,0.36,-165.71
12993.873173398,2,-38.43,0.36,-165.71
12993.925074383,2,-38.43,0.36,-165.71
12994.024293351,2,-38.43,0.36,-165.71
12994.056651656,2,-38.43,0.36,-165.71
12994.124958616,2,-38.43,0.36,-165.71
12994.191789436,2,-38.43,0.36,-165.71
12994.263224195,2,-38.43,0.36,-165.71
12994.324826495,2,-38.43,0.36,-165.71
12994.38680822,2,-38.43,0.36,-165.71
12994.451772433,2,-38.43,0.36,-165.71
12994.522785371,3,-38.43,0.36,-165.71
12994.59031223,3,-38.43,0.36,-165.71
12994.659179239,3,-38.43,0.36,-165.71
12994.72416116,3,-38.43,0.36,-165.71
12994.79146151,3,-38.43,0.36,-165.71
12994.857858581,3,-38.43,0.36,-165.71
12994.926338613,3,-38.43,0.36,-165.71
12995.014379815,3,-38.43,0.36,-165.71
12995.059220412,3,-38.43,0.36,-165.71
12995.129472156,3,-38.43,0.36,-165.71
12995.197710678,3,-38.43,0.36,-165.71
12995.276084888,3,-38.43,0.36,-165.71
12995.328706704,3,-38.43,0.36,-165.71
12995.392850659,3,-38.43,0.36,-165.71
12995.468278788,3,-38.43,0.36,-165.71
12995.536490539,3,-38.43,0.36,-165.71
12995.598081016,3,-38.43,0.36,-165.71
12995.66610131,3,-38.43,0.36,-165.71
12995.732794526,3,-38.43,0.36,-165.71
12995.79930092,3,-38.43,0.36,-165.71
12995.864490549,3,-38.43,0.36,-165.71
12995.933501881,3,-38.43,0.36,-165.71
12996.0040393,3,-38.43,0.36,-165.71
12996.069751531,3,-38.43,0.36,-165.71
12996.135421678,3,-38.43,0.36,-165.71
12996.2053341,3,-38.43,0.36,-165.71
12996.273053249,3,-38.43,0.36,-165.71
12996.33895324,3,-38.43,0.36,-165.71
12996.405842392,3,-38.43,0.36,-165.71
12996.473596854,3,-38.43,0.36,-165.71
12996.5457651,3,-38.43,0.36,-165.71
12996.603146479,3,-38.43,0.36,-165.71
12996.675849723,3,-38.43,0.36,-165.71
12996.743049916,3,-38.43,0.36,-165.71
12996.809944434,3,-38.43,0.36,-165.71
12996.872074752,3,-38.43,0.36,-165.71
12996.943692844,3,-38.43,0.36,-165.71
12997.012533811,3,-38.43,0.36,-165.71
12997.07903182,3,-38.43,0.36,-165.71
12997.151820324,3,-38.43,0.36,-165.71
12997.210532218,3,-38.43,0.36,-165.71
12997.277524131,3,-38.43,0.36,-165.71
12997.345471769,3,-38.43,0.36,-165.71
12997.41511815,3,-38.43,0.36,-165.71
12997.479711792,3,-38.43,0.36,-165.71
12997.545520376,3,-38.43,0.36,-165.71
12997.616108003,3,-38.43,0.36,-165.71
12997.678753424,3,-38.43,0.36,-165.71
12997.746413719,3,-38.43,0.36,-165.71
12997.811783972,3,-38.43,0.36,-165.71
